timestamp,RAD_fr_hip,RAD_fr_knee,RAD_fr_foot,RAD_br_hip,RAD_br_knee,RAD_br_foot,RAD_fl_hip,RAD_fl_knee,RAD_fl_foot,RAD_bl_hip,RAD_bl_knee,RAD_bl_foot,PWM_fr_hip,PWM_fr_knee,PWM_fr_foot,PWM_br_hip,PWM_br_knee,PWM_br_foot,PWM_fl_hip,PWM_fl_knee,PWM_fl_foot,PWM_bl_hip,PWM_bl_knee,PWM_bl_foot,VOLT_fr_hip,VOLT_fr_knee,VOLT_fr_foot,VOLT_br_hip,VOLT_br_knee,VOLT_br_foot,VOLT_fl_hip,VOLT_fl_knee,VOLT_fl_foot,VOLT_bl_hip,VOLT_bl_knee,VOLT_bl_foot
0.0220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.2280,0.8720,1.2520,1.2880,0.7980,1.2360,1.1420,1.7200,1.1760,1.1480,1.5680,1.1600
0.0431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.2280,0.8720,1.1780,1.2160,0.7980,1.2360,1.1420,1.7240,1.1760,1.1480,1.5680,1.1660
0.0641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.2160,1.0260,1.1840,1.2680,0.8200,1.2400,1.1540,1.7740,1.1920,1.1540,1.7620,1.1700
0.0849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.2200,1.0360,1.2680,1.2700,0.8600,1.2320,1.1500,1.7840,1.1860,1.1520,1.6520,1.1680
0.1059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.2080,0.9780,1.2200,1.2560,0.8700,1.2440,1.1480,1.7360,1.1840,1.1520,1.5400,1.1640
0.1269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1960,0.9720,1.2040,1.2400,0.8900,1.2060,1.1460,1.6760,1.1820,1.1520,1.5300,1.1640
0.1479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1880,0.9940,1.1940,1.2240,0.9180,1.1980,1.1460,1.6220,1.1820,1.1520,1.4820,1.1620
0.1689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1820,1.0340,1.1840,1.2180,0.9360,1.1880,1.1440,1.5660,1.1800,1.1520,1.4300,1.1620
0.1898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1800,1.1040,1.1780,1.2140,0.9780,1.1780,1.1440,1.5160,1.1800,1.1540,1.3800,1.1620
0.2108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1760,1.1520,1.1760,1.2120,1.0220,1.1760,1.1440,1.4700,1.1800,1.1520,1.2800,1.1620
0.2318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1740,1.1400,1.1740,1.2120,1.0980,1.1720,1.1480,1.4220,1.1800,1.2020,1.2400,1.1620
0.2528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1860,1.1760,1.1740,1.2120,1.1160,1.1700,1.1440,1.3240,1.1780,1.1540,1.2080,1.1620
0.2737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.3180,1.1740,1.2100,1.1240,1.1740,1.1400,1.2800,1.1760,1.1560,1.1860,1.1620
0.2947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1720,1.2160,1.1740,1.2120,1.1260,1.1700,1.1600,1.2420,1.1760,1.1540,1.1820,1.1620
0.3157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2240,1.1740,1.2080,1.1200,1.1700,1.1420,1.2220,1.1760,1.1540,1.1720,1.1620
0.3367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1680,1.2280,1.1740,1.2100,1.1240,1.1700,1.1400,1.2100,1.1780,1.1520,1.1680,1.1600
0.3576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1720,1.2120,1.1280,1.1700,1.1400,1.2020,1.1840,1.1480,1.1640,1.1620
0.3786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1720,1.2080,1.1280,1.1700,1.1400,1.2000,1.1780,1.1480,1.1640,1.1620
0.3996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1740,1.2080,1.1280,1.1700,1.1400,1.1980,1.1880,1.1480,1.1640,1.1620
0.4206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1740,1.2080,1.1280,1.1700,1.1400,1.1960,1.1820,1.1480,1.1640,1.1620
0.4416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1740,1.2080,1.1280,1.1700,1.1400,1.1980,1.1760,1.1480,1.1640,1.1640
0.4624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1780,1.2080,1.1280,1.1700,1.1400,1.2060,1.1760,1.1480,1.1640,1.1640
0.4834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1740,1.2080,1.1280,1.1700,1.1400,1.2880,1.1760,1.1480,1.1640,1.1620
0.5043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2300,1.1720,1.2080,1.1280,1.1700,1.1400,1.4000,1.1760,1.1480,1.1660,1.1660
0.5253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2320,1.1720,1.2080,1.1280,1.1700,1.1400,1.2140,1.1760,1.1480,1.2160,1.1600
0.5463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2760,1.1720,1.2080,1.1280,1.1680,1.1400,1.1960,1.1760,1.1480,1.4100,1.1600
0.5673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.3800,1.1740,1.2080,1.1280,1.1780,1.1480,1.1960,1.1760,1.1480,1.3700,1.1600
0.5883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2920,1.1720,1.2080,1.1280,1.1700,1.1460,1.1960,1.1760,1.1480,1.1640,1.1600
0.6093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2300,1.1720,1.2080,1.1300,1.1700,1.1480,1.1960,1.1760,1.1500,1.1680,1.1620
0.6305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1720,1.2280,1.1720,1.2080,1.1320,1.1700,1.1460,1.1960,1.1760,1.1500,1.1620,1.1620
0.6515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1720,1.2080,1.1660,1.1700,1.1400,1.1960,1.1760,1.1500,1.1640,1.1600
0.6725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1720,1.2280,1.1720,1.2080,1.1620,1.1700,1.1400,1.1960,1.1760,1.1520,1.1640,1.1620
0.6935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1720,1.2280,1.1720,1.2080,1.1280,1.1700,1.1400,1.1960,1.1760,1.1500,1.1640,1.1620
0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1720,1.2100,1.1280,1.1700,1.1400,1.1960,1.1760,1.1520,1.1640,1.1620
0.7357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1720,1.2080,1.1280,1.1700,1.1400,1.1960,1.1760,1.1480,1.1640,1.1620
0.7567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1720,1.2100,1.1280,1.1700,1.1400,1.1960,1.1780,1.1480,1.1640,1.1600
0.7776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1720,1.2120,1.1280,1.1700,1.1400,1.1960,1.1860,1.1480,1.1640,1.1620
0.7986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1720,1.2080,1.1280,1.1700,1.1400,1.1960,1.1800,1.1480,1.1640,1.1620
0.8196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1740,1.2080,1.1280,1.1700,1.1400,1.1960,1.1900,1.1480,1.1640,1.1620
0.8406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1740,1.2080,1.1280,1.1700,1.1400,1.1960,1.1800,1.1480,1.1640,1.1620
0.8618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1720,1.2080,1.1280,1.1700,1.1400,1.2000,1.1760,1.1480,1.1640,1.1640
0.8828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1760,1.2080,1.1280,1.1700,1.1400,1.2100,1.1760,1.1480,1.1640,1.1640
0.9036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1720,1.2080,1.1280,1.1700,1.1400,1.3320,1.1760,1.1480,1.1640,1.1640
0.9246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2300,1.1720,1.2080,1.1280,1.1720,1.1400,1.3640,1.1760,1.1480,1.1660,1.1660
0.9456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2320,1.1720,1.2080,1.1280,1.1680,1.1380,1.1960,1.1760,1.1480,1.2580,1.1620
0.9666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.3000,1.1720,1.2080,1.1280,1.1700,1.1420,1.1960,1.1760,1.1480,1.4440,1.1600
0.9878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1680,1.3660,1.1720,1.2080,1.1280,1.1740,1.1480,1.1960,1.1760,1.1480,1.2440,1.1620
1.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2240,1.1740,1.2080,1.1280,1.1700,1.1440,1.1960,1.1760,1.1500,1.1640,1.1620
1.0297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1740,1.2080,1.1300,1.1700,1.1500,1.1960,1.1760,1.1500,1.1680,1.1620
1.0507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1720,1.2280,1.1720,1.2080,1.1400,1.1700,1.1400,1.1960,1.1760,1.1500,1.1640,1.1600
1.0717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1500,1630,1530,1650,1500,1550,1500,1520,1550,1520,1550,1550,1.1700,1.2280,1.1740,1.2080,1.1760,1.1700,1.1400,1.1960,1.1760,1.1520,1.1620,1.1600
