timestamp,RAD_br_hip,RAD_bl_hip,RAD_bl_knee,RAD_bl_foot,RAD_br_knee,RAD_fl_foot,RAD_fl_knee,RAD_fl_hip,RAD_br_foot,RAD_fr_hip,RAD_fr_knee,RAD_fr_foot,PWM_br_hip,PWM_bl_hip,PWM_bl_knee,PWM_bl_foot,PWM_br_knee,PWM_fl_foot,PWM_fl_knee,PWM_fl_hip,PWM_br_foot,PWM_fr_hip,PWM_fr_knee,PWM_fr_foot,VOLT_br_hip,VOLT_bl_hip,VOLT_bl_knee,VOLT_bl_foot,VOLT_br_knee,VOLT_fl_foot,VOLT_fl_knee,VOLT_fl_hip,VOLT_br_foot,VOLT_fr_hip,VOLT_fr_knee,VOLT_fr_foot
0.0142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,0.9120,1.3180,0.4100,0.4120,0.8180,0.4200,0.4440,0.7600,1.9360,1.6820,0.9880,2.0180
0.0338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,0.9140,1.3180,0.4100,0.4120,0.8180,0.4200,0.4440,0.7600,1.9360,1.6820,1.0600,2.1320
0.0541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.0040,1.3680,0.5700,0.5500,0.8860,0.6500,0.6800,0.9920,2.0940,1.7100,1.1380,2.0980
0.0742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,0.9960,1.3400,0.5440,0.5340,0.8900,0.6000,0.6600,0.9440,2.0260,1.6800,1.0900,2.0460
0.0942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.0120,1.3000,0.5540,0.5420,0.9080,0.5900,0.6300,0.9320,1.9660,1.6420,1.1160,1.9920
0.1144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.0380,1.2420,0.5740,0.5640,0.9320,0.6040,0.6400,0.9460,1.9040,1.6040,1.1560,1.9380
0.1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.0420,1.2060,0.5980,0.5880,0.9440,0.6240,0.6560,0.9620,1.8540,1.5580,1.1880,1.8860
0.1545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.1120,1.1840,0.6360,0.6380,0.9840,0.6540,0.6800,0.9380,1.7940,1.5160,1.4220,1.8280
0.1748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.1220,1.1660,0.6760,0.6760,1.0240,0.6920,0.7280,0.9800,1.7440,1.4700,1.4900,1.7780
0.1949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.1620,1.1560,0.7240,0.7180,1.0600,0.7320,0.7680,1.0240,1.6900,1.4220,1.4420,1.7040
0.2149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.1980,1.1500,0.7720,0.7660,1.0860,0.7760,0.8040,1.0640,1.6420,1.3620,1.4380,1.6600
0.2351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2160,1.1460,0.8180,0.8080,1.1060,0.8180,0.8600,1.0980,1.5980,1.3180,1.3720,1.6200
0.2553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2340,1.1440,0.8660,0.8400,1.1200,0.8700,0.9060,1.1220,1.5500,1.2720,1.3300,1.5700
0.2755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2440,1.1440,0.9140,0.8780,1.1260,0.9160,0.9540,1.1360,1.5000,1.2300,1.3440,1.5200
0.2955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2500,1.1440,0.9480,0.9220,1.1320,0.9620,1.0020,1.1420,1.4520,1.2020,1.3420,1.4700
0.3157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2540,1.1420,1.0040,0.9760,1.1360,1.0000,1.0300,1.1400,1.4000,1.1900,1.3020,1.4260
0.3353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2540,1.1420,1.0440,1.0140,1.1360,1.0180,1.0800,1.1420,1.3120,1.1820,1.3260,1.3780
0.3559,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2540,1.1400,1.0800,1.1080,1.1340,1.0660,1.1240,1.1420,1.2640,1.1780,1.2920,1.3100
0.3762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1400,1.1040,1.1780,1.1340,1.1060,1.1540,1.1440,1.2280,1.1780,1.2280,1.4820
0.3961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1360,1.1220,1.2040,1.1340,1.1340,1.1760,1.1460,1.2040,1.1740,1.2300,1.4440
0.4161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1360,1.1360,1.2120,1.1340,1.1500,1.1920,1.1480,1.1880,1.1720,1.2320,1.2020
0.4363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1420,1.2400,1.1340,1.1600,1.1980,1.1520,1.1820,1.1760,1.2300,1.1900
0.4566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1460,1.2760,1.1340,1.1680,1.2020,1.1540,1.1740,1.1700,1.2260,1.1840
0.4766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1460,1.2820,1.1340,1.1700,1.2040,1.1580,1.1720,1.1700,1.2260,1.1800
0.4967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1460,1.3080,1.1340,1.1720,1.2040,1.1560,1.1700,1.1800,1.2260,1.1780
0.5168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1460,1.3120,1.1340,1.1720,1.2040,1.1580,1.1680,1.1820,1.2260,1.1740
0.5368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1460,1.2940,1.1340,1.1720,1.2040,1.1580,1.1680,1.1720,1.2260,1.1720
0.5572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1460,1.2520,1.1340,1.1740,1.2040,1.1620,1.1680,1.1720,1.2260,1.1720
0.5772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1460,1.2480,1.1340,1.1740,1.2040,1.1620,1.1680,1.1720,1.2260,1.1720
0.5971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1480,1.2480,1.1340,1.1740,1.2040,1.1620,1.1680,1.1720,1.2260,1.1720
0.6175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1480,1.2180,1.1340,1.1740,1.2040,1.1600,1.1660,1.1740,1.2260,1.1720
0.6375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1480,1.2160,1.1340,1.1740,1.2040,1.1580,1.1660,1.1740,1.2260,1.1720
0.6576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1480,1.1940,1.1340,1.1740,1.2040,1.1580,1.1660,1.1720,1.2260,1.1700
0.6777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1480,1.1780,1.1340,1.1740,1.2040,1.1580,1.1660,1.1760,1.2260,1.1700
0.6980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1650,1520,1550,1550,1500,1550,1520,1500,1550,1500,1630,1530,1.2520,1.1380,1.1480,1.1420,1.1340,1.1740,1.2040,1.1520,1.1680,1.1760,1.2260,1.1700
