Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link_collision,-4.3368E-18,-0.0044549,0.05096,0,0,0,1.397,0.0074816,-1.8104E-20,2.2293E-20,0.0018158,-0.00054962,0.006296,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/base_link_collision.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/base_link_collision.STL,,collision_BRACKET_1-1;collision_BRACKET_1-2;collision_BRACKET_1-3;collision_BRACKET_1-4;collision_BRACKET_1-5;collision_BRACKET_1-6;collision_BRACKET_1-7;collision_BRACKET_1-8;collision_BRACKET_VERTICAL-1;collision_BRACKET_VERTICAL-2;collision_BRACKET_VERTICAL-3;collision_BRACKET_VERTICAL-4;collision_BODY-1,global_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_hip_collision,0.014318,-0.0060629,0.01277,0,0,0,0.11741,4.9874E-05,2.9422E-07,-1.256E-20,3.058E-05,-2.9533E-21,3.0575E-05,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fr_hip_collision.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fr_hip_collision.STL,,collision_KNEE_MOTOR-4;collision_HIP_MOTOR-1,fr_hip_cs,fr_hip_z_axis,fr_hip_joint,revolute,0.059512,0.078854,0.0005334,0,0,0.76931,base_link_collision,0,0,1,0.9414,5.23,-0.7853,0.7853,,,,,,,,
fr_knee_collision,0.041197,-0.0049457,-0.00040878,0,0,0,0.0078453,8.7896E-07,1.1937E-06,5.8907E-08,5.4686E-06,-1.2867E-08,6.3429E-06,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fr_knee_collision.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fr_knee_collision.STL,,collision_LINK-15;collision_LINK-17,fr_knee_cs,fr_knee_z_axis,fr_knee_joint,revolute,0.028451,0,0,1.5816,-0.78534,0,fr_hip_collision,-0.010779,0,-0.99994,0.9414,5.23,-1.5707,1.5707,,,,,,,,
fr_foot_collision,0.015759,-0.0029333,-0.001223,0,0,0,0.074374,1.4421E-05,-2.2392E-07,-7.6908E-18,3.1799E-05,-9.8256E-20,2.5344E-05,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fr_foot_collision.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fr_foot_collision.STL,,collision_EE-1;collision_FOOT_MOTOR-4,fr_foot_cs,fr_foot_z_axis,fr_foot_joint,revolute,0.07307,-0.018656,0.0002011,3.1339,-0.0075232,-2.3433,fr_knee_collision,0,0,1,0.9414,5.23,-1.5707,1.5707,,,,,,,,
fl_hip_collision,0.0143118421289124,0.00566169915127807,0.0132522,0,0,0,0.11740896,4.98771206226404E-05,-1.83911028827696E-07,-8.92087225726843E-21,3.05768188628596E-05,-1.48636104921113E-21,3.05750665485E-05,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fl_hip_collision.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fl_hip_collision.STL,,collision_KNEE_MOTOR-5;collision_HIP_MOTOR-2,fl_hip_cs,fl_hip_z_axis,fl_hip_joint,revolute,-0.059512,0.078854,0,0,0,2.3666,base_link_collision,0,0,1,0.9414,5.23,-0.7853,0.7853,,,,,,,,
fl_knee_collision,0.0411960169988735,0.00494573478578841,-0.000613013742021315,0,0,0,0.00784531807080844,8.78572849397936E-07,-1.1937124100076E-06,3.68196411199275E-08,5.46859712302851E-06,8.04246087838835E-09,6.34332650293932E-06,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fl_knee_collision.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fl_knee_collision.STL,,collision_LINK-9;collision_LINK-10,fl_knee_cs,fl_knee_z_axis,fl_knee_joint,revolute,0.028449,0,0,-1.5775,-0.78538,0,fl_hip_collision,-0.0067372,0,-0.99998,0.9414,5.23,-1.5707,1.5707,,,,,,,,
fl_foot_collision,0.0162000810345276,0.00292882079345386,-0.00122295505133468,0,0,0,0.0743743135565135,1.44214036778833E-05,2.2264211176661E-07,1.71068891609847E-18,3.17988475428255E-05,-2.11758236813575E-20,2.53438146690718E-05,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fl_foot_collision.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/fl_foot_collision.STL,,collision_EE-3;collision_FOOT_MOTOR-6,fl_foot_cs,fl_foot_z_axis,fl_foot_joint,revolute,0.073066,0.018656,0.00012569,-3.1368,-0.0047025,2.3434,fl_knee_collision,0,0,1,0.9414,5.23,-1.5707,1.5707,,,,,,,,
bl_hip_collision,0.0143285638345978,-0.00465620919207431,0.0132521999999991,0,0,0,0.11740896,4.98745463704744E-05,2.88964501898982E-07,-1.10768719551012E-20,3.05793931150255E-05,-8.68610851032969E-21,3.05750665485E-05,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/bl_hip_collision.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/bl_hip_collision.STL,,collision_KNEE_MOTOR-2;collision_HIP_MOTOR-3,bl_hip_cs,bl_hip_z_axis,bl_hip_joint,revolute,-0.053162,-0.12711,0,0,0,-2.372,base_link_collision,0,0,1,0.9414,5.23,-0.7853,0.7853,,,,,,,,
bl_knee_collision,0.0412172768307167,0.00494573478578836,-0.00148818730146588,0,0,0,0.00784531807080836,8.78937314993222E-07,-1.19367260449787E-06,-5.7855577349967E-08,5.46859712302846E-06,-1.26377313771319E-08,6.34296203734397E-06,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/bl_knee_collision.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/bl_knee_collision.STL,,collision_LINK-11;collision_LINK-12,bl_knee_cs,bl_knee_z_axis,bl_knee_joint,revolute,0.028451,0,0,-1.5602,-0.78534,0,bl_hip_collision,0.010587,0,-0.99994,0.9414,5.23,-1.5707,1.5707,,,,,,,,
bl_foot_collision,0.0162000810345233,0.00292882079344495,-0.00121932664294472,0,0,0,0.0743743135565135,1.44214036778836E-05,2.22642111775048E-07,7.08066604345392E-21,3.17988475428253E-05,0,2.53438146690718E-05,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/bl_foot_collision.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/bl_foot_collision.STL,,collision_EE-5;collision_FOOT_MOTOR-2,bl_foot_cs,bl_foot_z_axis,bl_foot_joint,revolute,0.073069,0.018656,-0.00019751,3.134,0.0073895,2.3434,bl_knee_collision,0,0,1,0.9414,5.23,-1.5707,1.5707,,,,,,,,
br_hip_collision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/br_hip_collision.STL,1,1,1,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES COLLISION.SLDASM/meshes/br_hip_collision.STL,,collision_KNEE_MOTOR-3;collision_HIP_MOTOR-4,br_hip_cs,br_hip_z_axis,br_hip_joint,revolute,0.053162,-0.12711,0.0005334,0,0,-0.77529,base_link_collision,0,0,1,0.9414,5.23,-0.7853,0.7853,,,,,,,,
